"","Target_Name","Total_Time_m","Total_Time_se","Orientation_Time_m","Orientation_Time_se","Navigation_Time_m","Navigation_Time_se","Distance_m","Distance_se","Speed_m","Speed_se","Mean_Dwell_m","Mean_Dwell_se","Teleportations_m","Teleportations_se","Block_num"
"1","Automobile shop",42.9996644777778,7.78657037082584,7.97311129259259,0.626568764852711,35.0265531851852,7.66881678645428,157.685484887594,35.5498743298262,4.91429391923236,0.361498026428695,1.99976119909723,0.135324720823457,25.7777777777778,5.84835266292103,"1"
"2","Police station ",51.4641350740741,4.44747268030076,4.6549787037037,0.555690276884026,46.8091563703704,4.41220857595561,300.092538607872,30.4733991973694,6.84889359966458,0.436905613444251,1.42983870836491,0.104628867782105,39.8518518518519,4.96302674619897,"1"
"3","Fire Station",45.6365275555556,14.0380569525815,3.89220226666667,0.301184632534734,41.7443252888889,13.930255611076,286.955066670876,46.6208367335247,11.4800890520613,1.01672204361744,0.957747540986916,0.0897054574928803,38,7.15517862785977,"1"
"4","Bank",78.7815352444444,16.5096529253481,4.24264046666667,0.730610767058362,74.5388947777778,16.4886872517468,538.971620886771,111.963544613804,8.83848940895748,0.775492085335263,1.35246760658347,0.135906659311516,75.3703703703704,17.7650981610794,"1"
"5","Pawn Shop",55.6632424666667,9.88792177375994,3.48418735555556,0.323673253075358,52.1790551111111,9.97788382215268,335.225434138278,44.2114247451528,8.30576566240094,0.591064534261012,1.16512012064847,0.0814601735759932,47.4074074074074,7.00351138207123,"1"
"6","Pizzeria",39.2216103481481,3.88366834134788,4.18030001481482,0.455865731851682,35.0413103333333,3.93843691530852,239.07397340375,23.0555512479212,7.73724217148352,0.509572111664574,1.17078391974257,0.0864030539162526,33.1481481481481,3.6572153651482,"1"
"7","Quattroki Restaurant",89.4383456703704,15.5599796446219,6.0065643,1.00740095078503,83.4317813703704,15.4034144024022,596.211493101536,99.6834718618487,10.0116131456977,1.10686121158978,1.05606053419301,0.105644016776097,94.2962962962963,20.2686947095118,"1"
"8","High School",29.5851185407407,4.8171887839332,3.9824265037037,0.47165471773291,25.602692037037,4.75262781959188,308.29083527704,29.4443524165272,16.9632806014834,1.50819490829431,0.733886569323053,0.0698130446692129,35.4074074074074,4.46680037408604,"1"
"9","Automobile shop",13.8290094407407,1.55910749715483,4.05180858888889,0.352919672076105,9.77720085185185,1.52944522230069,74.895329860822,7.91157454463973,9.00767916700108,0.556905886780247,0.983967591526227,0.0722622972236816,13.8888888888889,1.38606550633231,"2"
"10","Police station ",24.1685306925926,3.29919611416207,2.24781865555556,0.143691688323984,21.920712037037,3.26592299791804,204.134870821802,18.3258980964039,12.0526784713501,0.874337165441913,0.84478105279701,0.0547124044164516,26.2222222222222,2.93487398028466,"2"
"11","Fire Station",18.9003210111111,3.34199395546644,2.80291375185185,0.292095541474457,16.0974072592593,3.31091785206095,180.273063349828,18.2525284767986,17.2878959607121,1.64663810357681,0.717020488518223,0.0891020867149013,23.5555555555556,3.54713211606403,"2"
"12","Bank",29.9665072333333,5.22328881208785,3.06789045555556,0.422279005430627,26.8986167777778,5.26444451248434,275.266968287038,46.0365691701611,14.2388519185568,1.55274001987203,0.953836994036847,0.0717652076395525,37.3333333333333,10.5497059815095,"2"
"13","Pawn Shop",38.8207064148148,7.10780500292411,3.0920253037037,0.310150540669231,35.7286811111111,7.07792154695391,292.113930745853,49.4556842360825,10.2597851835323,0.824159066987199,0.944526903689623,0.0699548768125769,43.9259259259259,8.45903921957497,"2"
"14","Pizzeria",25.1657592296296,3.64669882872207,3.80919093333333,0.389664793965874,21.3565682962963,3.5690802282881,198.578963669261,23.162624607958,12.0400083907122,0.898418945154728,0.830408309331699,0.0573970449192016,27.1851851851852,3.75155695581156,"2"
"15","Quattroki Restaurant",24.1781543703704,5.27101579782531,2.41687622222222,0.233250241333762,21.7612781481481,5.16041054787812,248.55058677511,25.8528170021571,17.1460675321799,1.43045221051663,0.691234032302924,0.0655106035694296,30.962962962963,4.42264358732614,"2"
