,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
4,BNC31,3,Pawn Shop,49.0202254,7.3948714,41.625354,286.6795045468804,6.887136732744192,1.3026909277777778,37
5,BNC31,3,Pizzeria,29.0688483,1.8264003,27.242448,156.89846912529686,5.759338115476878,1.667500664705882,18
6,BNC31,3,Quattroki Restaurant,12.8397763,2.8469223,9.992854,194.33722416529096,19.447619685556397,0.7083791352941177,18
7,BNC31,3,High School,17.978767599999998,2.7361066,15.242661,210.21090161065032,13.79095825923376,0.8807714705882355,18
0,BNC32,1,Automobile shop,20.8399067,6.6668747,14.173032,62.321852344789605,4.397213831506879,2.142510411111111,10
1,BNC32,1,Police station ,110.4560219,4.4861209,105.969901,797.003617699334,7.521037673700705,0.8823948324999998,121
2,BNC32,1,Fire Station,16.2772809,4.3194059,11.957875,139.0622135774626,11.629341632812066,0.7902752000000001,16
3,BNC32,1,Bank,32.8466781,3.3193201,29.527358,289.27384438550973,9.79680757030513,0.8469714878787878,34
4,BNC32,1,Pawn Shop,73.4429888,3.0000227999999995,70.442966,459.19550197598033,6.518684945434869,1.0218624173913045,70
5,BNC32,1,Pizzeria,75.21410470000001,5.9723237000000005,69.241781,320.90512846065326,4.634559132161162,1.4222141509803918,52
6,BNC32,1,Quattroki Restaurant,312.01320730000003,5.708125300000001,306.305082,1692.135161753282,5.524345697121936,1.0620012518900348,292
7,BNC32,1,High School,54.7548189,4.1248819,50.629937,576.150227118072,11.3796354737331,0.6581871695121956,83
0,BNC32,2,Automobile shop,39.1199367,5.8083947,33.311542,194.67076799808285,5.843943459539726,1.155945203030303,34
1,BNC32,2,Police station ,31.3327908,4.3752468,26.957544,250.3182189743171,9.2856463101504,0.796981708571428,36
2,BNC32,2,Fire Station,14.2845584,5.3127604,8.971798,136.36909998210996,15.19975148594629,0.8744175249999999,17
3,BNC32,2,Bank,29.1594168,12.5554468,16.60397,157.98340901689585,9.514797305517646,1.7435161999999989,15
4,BNC32,2,Pawn Shop,54.9777264,6.8329834,48.144743000000005,289.9140495536405,6.021717668191529,1.188804869767442,44
5,BNC32,2,Pizzeria,27.7007665,7.395728500000001,20.305038,126.15698250943088,6.213087732681459,1.3467299333333334,16
6,BNC32,2,Quattroki Restaurant,130.5181348,4.2914748000000005,126.22666,817.2104009953875,6.474150555796909,1.0400619419354835,125
7,BNC32,2,High School,11.1731692,2.1801622,8.993007,231.9571280426952,25.793055431036045,0.3840101739130436,24
0,BNC32,3,Automobile shop,21.0916667,6.4667087,14.624958,63.33054227778227,4.330305924829478,1.8500051545454548,12
1,BNC32,3,Police station ,24.9508285,5.180683499999999,19.770145000000003,128.81598978828092,6.515682600622347,1.0630762692307691,14
2,BNC32,3,Fire Station,9.5136513,4.5279173,4.985734,138.17884367672582,27.71484473032974,0.3252740666666666,16
3,BNC32,3,Bank,16.5341372,9.020615200000002,7.513522,125.80248833944012,16.743477737795953,1.558080025,9
4,BNC32,3,Pawn Shop,53.7556857,4.104080699999999,49.651605,437.2756542746472,8.80687853443302,0.7222263528571425,71
5,BNC32,3,Pizzeria,92.8028214,9.333315400000002,83.469506,640.6866076485086,7.67569665080453,0.8748505657142855,106
6,BNC32,3,Quattroki Restaurant,56.6592029,1.8483079,54.810895,331.903889063599,6.055436406641399,1.3366477119047622,43
7,BNC32,3,High School,42.360096,2.25713,40.102966,565.1002684699313,14.091233762358906,0.4932760000000001,85
0,BNC33,1,Automobile shop,19.0421567,7.8976957,11.144461000000002,64.98722302192789,5.831347341242244,1.9507770777777775,10
1,BNC33,1,Police station ,49.874530400000005,3.0423584000000004,46.832172,312.1066770591512,6.664364767432764,1.1910490368421065,39
2,BNC33,1,Fire Station,9.6387101,3.1737600999999995,6.464950000000001,137.74062819848794,21.30575305276729,0.5318713333333334,13
3,BNC33,1,Bank,42.2766944,6.0068984,36.269796,299.2249042715907,8.249974835027764,1.120684037837838,38
4,BNC33,1,Pawn Shop,13.7286146,7.6317446,6.09687,87.57034945520066,14.36316494450442,1.7281173714285711,8
5,BNC33,1,Pizzeria,26.7077381,4.2777291,22.430009,129.2542197304787,5.762557640100755,1.830862078571429,15
6,BNC33,1,Quattroki Restaurant,229.8574156,6.8194846,223.037931,1461.8255942459446,6.5541568991955215,0.8487907138576778,268
7,BNC33,1,High School,13.2432364,3.8542684,9.388968,243.71475651315365,25.95756599800464,0.4691579777777777,28
0,BNC33,2,Automobile shop,8.0218707,3.4945397,4.527330999999999,61.15451919731405,13.507852462590886,0.6718202454545452,12
1,BNC33,2,Police station ,8.978730500000001,2.3402675,6.638463,126.73837862981814,19.091524443205927,0.5036783846153847,14
2,BNC33,2,Fire Station,6.242987100000001,1.9792921,4.263695,139.5678573678731,32.73401530078326,0.2975699999999999,15
3,BNC33,2,Bank,52.9845264,1.7640184,51.220508,429.55257895506566,8.386339685562385,0.7166438929577459,72
