Participant,X,Z,Target_Name
BNC37_t3,25.60328,40.09498,Bank
BNC37_t3,30.30721,35.62867,Bank
BNC37_t3,34.64304,30.3504,Bank
BNC37_t3,33.20272,25.4936,Bank
BNC37_t3,0,-4.1,Pawn Shop
BNC37_t3,-0.2799342,-10.47705,Pawn Shop
BNC37_t3,-0.7053838,-16.79432,Pawn Shop
BNC37_t3,-6.821918,-19.4739,Pawn Shop
BNC37_t3,-13.63574,-20.29426,Pawn Shop
BNC37_t3,-20.22882,-18.94896,Pawn Shop
BNC37_t3,-27.00691,-17.94113,Pawn Shop
BNC37_t3,-33.13351,-14.68377,Pawn Shop
BNC37_t3,-35.37594,-8.010158,Pawn Shop
BNC37_t3,-35.5464,-0.9604988,Pawn Shop
BNC37_t3,-34.83841,6.015914,Pawn Shop
BNC37_t3,-28.19927,7.664863,Pawn Shop
BNC37_t3,-21.76397,10.441,Pawn Shop
BNC37_t3,-15.0871,11.9716,Pawn Shop
BNC37_t3,-8.572215,10.16991,Pawn Shop
BNC37_t3,-1.736032,10.04847,Pawn Shop
BNC37_t3,-0.1938289,16.82639,Pawn Shop
BNC37_t3,0.7350234,23.68429,Pawn Shop
BNC37_t3,1.258552,30.57969,Pawn Shop
BNC37_t3,2.073729,37.44342,Pawn Shop
BNC37_t3,-4.552755,37.89722,Pawn Shop
BNC37_t3,-10.86913,37.49471,Pawn Shop
BNC37_t3,-16.0826,41.24615,Pawn Shop
BNC37_t3,-22.64047,40.48346,Pawn Shop
BNC37_t3,-29.10344,38.81253,Pawn Shop
BNC37_t3,-31.52321,32.47434,Pawn Shop
BNC37_t3,-32.49807,25.81126,Pawn Shop
BNC37_t3,-33.37052,19.10741,Pawn Shop
BNC37_t3,-34.21743,12.40122,Pawn Shop
BNC37_t3,-34.89074,5.683947,Pawn Shop
BNC37_t3,-35.39108,-1.048707,Pawn Shop
BNC37_t3,-35.47268,-7.80546,Pawn Shop
BNC37_t3,-36.0302,-14.56369,Pawn Shop
BNC37_t3,-36.71992,-21.39738,Pawn Shop
BNC37_t3,-33.21302,-27.1394,Pawn Shop
BNC37_t3,0,-4.1,Pizzeria
BNC37_t3,-0.838901,-10.48258,Pizzeria
BNC37_t3,-0.1416788,-17.00167,Pizzeria
BNC37_t3,0.4310046,-23.48141,Pizzeria
BNC37_t3,0.8367649,-29.98151,Pizzeria
BNC37_t3,1.692845,-36.46284,Pizzeria
BNC37_t3,2.338638,-42.96703,Pizzeria
BNC37_t3,2.843641,-49.50239,Pizzeria
BNC37_t3,-3.305784,-50.99973,Pizzeria
BNC37_t3,-8.923297,-54.35711,Pizzeria
BNC37_t3,-15.23496,-56.65815,Pizzeria
BNC37_t3,-21.77145,-58.36267,Pizzeria
BNC37_t3,-27.63088,-54.94806,Pizzeria
BNC37_t3,-32.01372,-49.74376,Pizzeria
BNC37_t3,-33.3234,-42.89478,Pizzeria
BNC37_t3,-35.79734,-36.36178,Pizzeria
BNC37_t3,-37.89998,-29.70912,Pizzeria
BNC37_t3,-40.41751,-23.31506,Pizzeria
BNC37_t3,-40.04667,-16.36475,Pizzeria
BNC37_t3,-40.34733,-9.461133,Pizzeria
BNC37_t3,-40.72591,-2.565682,Pizzeria
